pdf_url,accepted,reason
https://static.cninfo.com.cn/finalpage/2024-12-22/1222102769.pdf,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-12-23/1222102766.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-12-23/1222115960.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-12-24/1222115840.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-27/1222156280.pdf,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-30/1222166492.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-31/1222188692.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-01-09/1222271744.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-01-11/1222297634.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-01-11/1222300110.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-01-13/1222314258.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2025-01-15/1222334043.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-01-17/1222366839.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-01-18/1222366493.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-01-20/1222365524.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-01-21/1222387837.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-01-25/1222429628.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-02-27/1222650578.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2025-03-14/1222807178.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-03-15/1222807238.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-03-16/1222815977.pdf,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2025-03-17/1222816417.PDF,0,仅个人或关联方涉案
