date,code,notice_date,pdf_url,provisional_purpose,decision,evidence
2024-03-12,sh.688508,2024-03-11,https://static.cninfo.com.cn/finalpage/2024-03-11/1219280617.PDF,maintain,pending,
2024-03-12,sz.002600,2024-03-11,https://static.cninfo.com.cn/finalpage/2024-03-11/1219265322.PDF,employee,pending,
2024-03-12,sz.002768,2024-03-11,https://static.cninfo.com.cn/finalpage/2024-03-11/1219280595.PDF,employee,pending,
2024-03-12,sz.300296,2024-03-11,https://static.cninfo.com.cn/finalpage/2024-03-11/1219287709.PDF,maintain,pending,
2024-03-12,sz.301041,2024-03-11,https://static.cninfo.com.cn/finalpage/2024-03-11/1219286557.PDF,employee,pending,
2024-03-13,sh.600060,2024-03-12,https://static.cninfo.com.cn/finalpage/2024-03-12/1219288186.PDF,employee,pending,
2024-03-13,sh.603081,2024-03-12,https://static.cninfo.com.cn/finalpage/2024-03-12/1219288197.PDF,unknown,pending,
2024-03-13,sh.688433,2024-03-12,https://static.cninfo.com.cn/finalpage/2024-03-12/1219287265.PDF,employee,pending,
2024-03-13,sz.002657,2024-03-12,https://static.cninfo.com.cn/finalpage/2024-03-12/1219287167.PDF,employee,pending,
2024-03-13,sz.301469,2024-03-12,https://static.cninfo.com.cn/finalpage/2024-03-12/1219295639.PDF,employee,pending,
2024-03-14,sz.002408,2024-03-13,https://static.cninfo.com.cn/finalpage/2024-03-13/1219296940.PDF,employee,pending,
2024-03-14,sz.301181,2024-03-13,https://static.cninfo.com.cn/finalpage/2024-03-13/1219295444.PDF,cancel,pending,
2024-03-15,sh.688195,2024-03-14,https://static.cninfo.com.cn/finalpage/2024-03-14/1219302269.PDF,employee,pending,
2024-03-15,sz.002864,2024-03-14,https://static.cninfo.com.cn/finalpage/2024-03-14/1219302719.PDF,employee,pending,
2024-03-18,sh.603233,2024-03-16,https://static.cninfo.com.cn/finalpage/2024-03-16/1219309387.PDF,employee,pending,
2024-03-18,sh.603919,2024-03-16,https://static.cninfo.com.cn/finalpage/2024-03-16/1219314234.PDF,unknown,pending,
2024-03-18,sz.000837,2024-03-16,https://static.cninfo.com.cn/finalpage/2024-03-16/1219310646.PDF,employee,pending,
2024-03-18,sz.301079,2024-03-16,https://static.cninfo.com.cn/finalpage/2024-03-16/1219309182.PDF,cancel,pending,
2024-03-19,sz.301229,2024-03-18,https://static.cninfo.com.cn/finalpage/2024-03-18/1219329191.PDF,employee,pending,
2024-03-20,sh.688819,2024-03-19,https://static.cninfo.com.cn/finalpage/2024-03-19/1219329335.PDF,employee,pending,
2024-03-20,sz.000989,2024-03-19,https://static.cninfo.com.cn/finalpage/2024-03-19/1219328325.PDF,employee,pending,
2024-03-21,sh.688048,2024-03-20,https://static.cninfo.com.cn/finalpage/2024-03-20/1219346010.PDF,employee,pending,
2024-03-21,sh.688231,2024-03-20,https://static.cninfo.com.cn/finalpage/2024-03-20/1219345233.PDF,employee,pending,
2024-03-21,sz.301428,2024-03-20,https://static.cninfo.com.cn/finalpage/2024-03-20/1219348042.PDF,employee,pending,
2024-03-22,sz.002468,2024-03-21,https://static.cninfo.com.cn/finalpage/2024-03-21/1219359397.PDF,employee,pending,
2024-03-25,sh.603055,2024-03-22,https://static.cninfo.com.cn/finalpage/2024-03-22/1219373781.PDF,employee,pending,
2024-03-25,sz.002957,2024-03-23,https://static.cninfo.com.cn/finalpage/2024-03-23/1219386506.PDF,employee,pending,
2024-03-27,sz.300102,2024-03-26,https://static.cninfo.com.cn/finalpage/2024-03-26/1219405181.PDF,employee,pending,
2024-03-28,sh.600196,2024-03-27,https://static.cninfo.com.cn/finalpage/2024-03-27/1219411276.PDF,employee,pending,
2024-03-28,sh.603215,2024-03-27,https://static.cninfo.com.cn/finalpage/2024-03-27/1219411661.PDF,employee,pending,
2024-03-28,sz.000593,2024-03-27,https://static.cninfo.com.cn/finalpage/2024-03-27/1219409272.PDF,employee,pending,
2024-03-29,sh.688183,2024-03-28,https://static.cninfo.com.cn/finalpage/2024-03-28/1219425662.PDF,employee,pending,
2024-03-29,sz.000739,2024-03-28,https://static.cninfo.com.cn/finalpage/2024-03-28/1219425078.PDF,employee,pending,
2024-03-29,sz.000795,2024-03-28,https://static.cninfo.com.cn/finalpage/2024-03-28/1219424820.PDF,employee,pending,
2024-03-29,sz.002972,2024-03-28,https://static.cninfo.com.cn/finalpage/2024-03-28/1219427074.PDF,employee,pending,
2024-03-29,sz.301363,2024-03-28,https://static.cninfo.com.cn/finalpage/2024-03-28/1219423684.PDF,unknown,pending,
2024-04-01,sh.600273,2024-03-30,https://static.cninfo.com.cn/finalpage/2024-03-30/1219467021.PDF,employee,pending,
2024-04-01,sh.601238,2024-03-29,https://static.cninfo.com.cn/finalpage/2024-03-29/1219444087.PDF,employee,pending,
2024-04-01,sz.000528,2024-03-30,https://static.cninfo.com.cn/finalpage/2024-03-30/1219474865.PDF,employee,pending,
2024-04-01,sz.002577,2024-03-30,https://static.cninfo.com.cn/finalpage/2024-03-30/1219471361.PDF,unknown,pending,
2024-04-01,sz.301126,2024-03-29,https://static.cninfo.com.cn/finalpage/2024-03-29/1219445127.PDF,cancel,pending,
2024-04-03,sh.688343,2024-04-02,https://static.cninfo.com.cn/finalpage/2024-04-02/1219493723.PDF,employee,pending,
2024-04-08,sz.002782,2024-04-03,https://static.cninfo.com.cn/finalpage/2024-04-03/1219504773.PDF,employee,pending,
2024-04-10,sz.001380,2024-04-09,https://static.cninfo.com.cn/finalpage/2024-04-09/1219539892.PDF,employee,pending,
2024-04-15,sz.301367,2024-04-12,https://static.cninfo.com.cn/finalpage/2024-04-12/1219579716.PDF,employee,pending,
2024-04-18,sz.300996,2024-04-17,https://static.cninfo.com.cn/finalpage/2024-04-17/1219646941.PDF,employee,pending,
2024-04-19,sz.002334,2024-04-18,https://static.cninfo.com.cn/finalpage/2024-04-18/1219647853.PDF,employee,pending,
2024-04-19,sz.003010,2024-04-18,https://static.cninfo.com.cn/finalpage/2024-04-18/1219650416.PDF,employee,pending,
2024-04-22,sh.600859,2024-04-20,https://static.cninfo.com.cn/finalpage/2024-04-20/1219698684.PDF,cancel,pending,
2024-04-22,sh.688262,2024-04-19,https://static.cninfo.com.cn/finalpage/2024-04-19/1219668410.PDF,employee,pending,
2024-04-24,sh.605090,2024-04-23,https://static.cninfo.com.cn/finalpage/2024-04-23/1219738309.PDF,employee,pending,
2024-04-24,sz.002937,2024-04-23,https://static.cninfo.com.cn/finalpage/2024-04-23/1219742072.PDF,employee,pending,
2024-04-24,sz.301302,2024-04-23,https://static.cninfo.com.cn/finalpage/2024-04-23/1219746248.PDF,cancel,pending,
2024-04-25,sz.002056,2024-04-24,https://static.cninfo.com.cn/finalpage/2024-04-24/1219772650.PDF,employee,pending,
